,Product ID,Machine failure_x,Machine failure_y,Rank
0,L51996,6,2,1
1,L51919,3,1,2
2,H30501,5,2,3
3,H30851,5,2,4
4,L51359,4,2,5
5,M19387,2,1,6
6,L49305,12,7,7
7,L53358,5,3,8
8,L51429,3,2,9
9,L51903,3,2,10
10,L47348,3,2,11
11,L51655,10,7,12
12,L52241,7,5,13
13,L51585,8,6,14
14,L51550,5,4,15
15,L51344,5,4,16
16,L54347,11,10,17
17,L48347,2,2,18
18,L51780,5,5,19
19,M19791,1,1,20
20,L48109,1,1,21
21,H33279,4,4,22
22,L51776,1,1,23
23,L51434,3,3,24
24,L55686,11,11,25
25,M19462,1,1,26
26,L52168,2,2,27
27,M20169,1,1,28
28,H32278,5,5,29
29,L51938,1,1,30
30,L51191,1,1,31
31,H35323,4,4,32
32,L51503,1,1,33
33,L52668,4,4,34
34,M18886,1,1,35
35,L51950,1,1,36
36,M18904,6,7,37
37,L51261,6,7,38
38,L54689,10,12,39
39,L51670,4,5,40
40,L51647,4,5,41
41,L52670,4,5,42
42,L56198,4,5,43
43,L55788,3,4,44
44,L54690,9,12,45
45,L47341,3,4,46
46,L51822,7,10,47
47,L51508,2,3,48
48,L52013,2,3,49
49,L54943,4,6,50
